participant,item,congruency,task,IA_LABEL,totread,fpass,spass,regpath,regin,reginc,regout,regoutc,skip,accuracy,rt,order,trial_trt
3_1,14_cong,congruent,entertainment,Target,1910,1910,,1910,0,0,0,0,0,1,3277,2,19576
3_1,14_cong,congruent,entertainment,Spillover,2492,2492,,2492,0,0,0,0,0,1,3277,2,19576
3_1,14_cong,congruent,entertainment,Coda,2842,2842,,3910,0,0,1,1,0,1,3277,2,19576
3_1,19_inc,incongruent,entertainment,Context,23390,14764,1614,14764,1,5,0,0,0,1,8262,2,35025
3_1,19_inc,incongruent,entertainment,Target,6022,2294,263,6341,0,0,1,2,0,1,8262,2,35025
3_1,19_inc,incongruent,entertainment,Spillover,2319,2319,,2319,0,0,0,0,0,1,8262,2,35025
3_1,19_inc,incongruent,entertainment,Coda,3294,3294,,11601,0,0,1,1,0,1,8262,2,35025
3_1,13_inc,incongruent,entertainment,Context,25162,17434,948,17434,1,4,0,0,0,1,4335,2,29169
3_1,13_inc,incongruent,entertainment,Target,248,135,113,1584,0,0,1,2,0,1,4335,2,29169
3_1,13_inc,incongruent,entertainment,Spillover,1407,877,530,1553,0,0,1,1,0,1,4335,2,29169
3_1,13_inc,incongruent,entertainment,Coda,2352,2352,,8598,0,0,1,1,0,1,4335,2,29169
3_1,23_inc,incongruent,entertainment,Context,30762,26999,804,26999,1,2,0,0,0,0,3600,2,43382
3_1,23_inc,incongruent,entertainment,Target,6915,5074,455,5074,1,1,0,0,0,0,3600,2,43382
3_1,23_inc,incongruent,entertainment,Spillover,3418,3418,,3418,0,0,0,0,0,0,3600,2,43382
3_1,23_inc,incongruent,entertainment,Coda,2287,2287,,7891,0,0,1,1,0,0,3600,2,43382
3_1,17_inc,incongruent,entertainment,Context,31241,27339,1113,27339,1,3,0,0,0,1,4226,2,42222
3_1,17_inc,incongruent,entertainment,Target,5875,951,2696,6195,1,1,1,2,0,1,4226,2,42222
3_1,17_inc,incongruent,entertainment,Spillover,2697,2330,367,2330,0,0,0,0,0,1,4226,2,42222
3_1,17_inc,incongruent,entertainment,Coda,2409,2409,,6358,0,0,1,1,0,1,4226,2,42222
3_1,18_cong,congruent,entertainment,Context,31642,17053,108,17053,1,5,0,0,0,0,4492,2,42375
3_1,18_cong,congruent,entertainment,Target,6377,1779,2133,4020,0,0,1,1,0,0,4492,2,42375
3_1,18_cong,congruent,entertainment,Spillover,2080,529,1551,15849,0,0,1,1,0,0,4492,2,42375
3_1,18_cong,congruent,entertainment,Coda,2276,2276,,5453,0,0,1,1,0,0,4492,2,42375
3_1,15_inc,incongruent,entertainment,Context,22848,20439,515,20439,1,3,0,0,0,1,15792,2,34047
3_1,15_inc,incongruent,entertainment,Target,7996,3097,3345,9571,1,1,1,2,0,1,15792,2,34047
3_1,15_inc,incongruent,entertainment,Spillover,1453,1300,153,1300,1,1,0,0,0,1,15792,2,34047
3_1,15_inc,incongruent,entertainment,Coda,1750,1750,,2737,0,0,1,1,0,1,15792,2,34047
4_2,5_cong,congruent,entertainment,Context,8617,8617,,8617,0,0,0,0,0,1,4581,1,13559
4_2,5_cong,congruent,entertainment,Target,2084,2084,,2084,0,0,0,0,0,1,4581,1,13559
4_2,5_cong,congruent,entertainment,Spillover,1157,1157,,1157,0,0,0,0,0,1,4581,1,13559
4_2,5_cong,congruent,entertainment,Coda,1701,1701,,1701,0,0,0,0,0,1,4581,1,13559
4_2,11_cong,congruent,entertainment,Context,7632,7632,,7632,0,0,0,0,0,0,5141,1,12270
4_2,11_cong,congruent,entertainment,Target,1035,1035,,1035,0,0,0,0,0,0,5141,1,12270
4_2,11_cong,congruent,entertainment,Spillover,1530,1530,,1530,0,0,0,0,0,0,5141,1,12270
4_2,11_cong,congruent,entertainment,Coda,2073,2073,,2073,0,0,0,0,0,0,5141,1,12270
4_2,12_inc,incongruent,entertainment,Context,6385,6385,,6385,0,0,0,0,0,1,3892,1,10120
4_2,12_inc,incongruent,entertainment,Target,1028,1028,,1028,0,0,0,0,0,1,3892,1,10120
4_2,12_inc,incongruent,entertainment,Spillover,1404,1404,,1404,0,0,0,0,0,1,3892,1,10120
4_2,12_inc,incongruent,entertainment,Coda,1303,1303,,1303,0,0,0,0,0,1,3892,1,10120
4_2,7_cong,congruent,entertainment,Context,6704,6704,,6704,0,0,0,0,0,1,3317,1,10481
4_2,7_cong,congruent,entertainment,Target,1277,1277,,1277,0,0,0,0,0,1,3317,1,10481
4_2,7_cong,congruent,entertainment,Spillover,1079,1079,,1079,0,0,0,0,0,1,3317,1,10481
4_2,7_cong,congruent,entertainment,Coda,1421,1421,,1421,0,0,0,0,0,1,3317,1,10481
4_2,4_inc,incongruent,entertainment,Context,6707,6707,,6707,0,0,0,0,0,1,4708,1,11193
